yearID,lgID,league_wide_ERA,dh_status
1999,AL,4.871924290220821,AL_Only_DH
2015,AL,4.012476376319469,AL_Only_DH
2009,NL,4.197515008081274,No_DH
1996,AL,4.999095617857437,AL_Only_DH
1962,NL,3.940993788819876,No_DH
1957,AL,3.787118034751348,No_DH
1991,NL,3.6874412898031173,No_DH
1950,NL,4.141269793212026,No_DH
1950,AL,4.576758186627748,No_DH
2005,AL,4.361298315163528,AL_Only_DH
1979,NL,3.7406465187452183,No_DH
2000,NL,4.6372529216563265,No_DH
1967,AL,3.2303846592854697,No_DH
2012,AL,4.087157998521075,AL_Only_DH
1970,AL,3.718232360864332,No_DH
1952,NL,3.7313423812834388,No_DH
1949,AL,4.197696737044146,No_DH
1965,NL,3.5390288875230484,No_DH
1958,AL,3.769321480406386,No_DH
1970,NL,4.054005934718101,No_DH
1995,NL,4.1839831634913605,No_DH
1976,NL,3.5056900633926524,No_DH
1946,NL,3.411739941059722,No_DH
2013,AL,3.9931670182518575,AL_Only_DH
1984,NL,3.592837739602862,No_DH
1984,AL,3.998076923076923,AL_Only_DH
1985,NL,3.598523576987639,No_DH
2008,AL,4.356173867176554,AL_Only_DH
1967,NL,3.375925756606016,No_DH
2015,NL,3.9111452256677923,No_DH
2012,NL,3.9510482437762784,No_DH
1983,AL,4.07598244662492,AL_Only_DH
2004,NL,4.314136351853452,No_DH
1987,NL,4.085965820818229,No_DH
2022,AL,3.8832642711361247,Both_Leagues_DH
1981,NL,3.4916060276170287,No_DH
1957,NL,3.8783466555730546,No_DH
2017,AL,4.375870677433274,AL_Only_DH
1966,AL,3.435392612355674,No_DH
1973,AL,3.8226288561027015,AL_Only_DH
1988,NL,3.454158880286793,No_DH
2002,NL,4.114563947197576,No_DH
1951,NL,3.9577729962345347,No_DH
1994,AL,4.806858909789407,AL_Only_DH
1955,NL,4.03775073589658,No_DH
2003,AL,4.529592088998764,AL_Only_DH
1947,AL,3.705308775731311,No_DH
1949,NL,4.040308773616076,No_DH
1985,AL,4.149078478002378,AL_Only_DH
1948,NL,3.954665774180789,No_DH
1961,AL,4.02442236598891,No_DH
1956,AL,4.159117691494183,No_DH
1955,AL,3.9610338573155985,No_DH
2001,NL,4.362249541337417,No_DH
1963,NL,3.288037378896498,No_DH
1948,AL,4.282577667101947,No_DH
2019,NL,4.394260560139881,No_DH
1994,NL,4.218945902019968,No_DH
2006,AL,4.564186670642612,AL_Only_DH
1978,NL,3.5806153846153848,No_DH
